BUS_SERVICE_NAME_TXT,OPR_DESC_TXT,ORIG_DEST_TXT,BUS_DIRCTN_TXT,BUS_ROUTE_SEQ_NUM,BUS_STOP_CD,BUS_STOP_DESC_TXT,RD_NAM_TXT,LONGTD_TXT,LATTD_TXT,OP_HR_TXT,FARE_TXT
PBS 591,XingSheng Transport Services,Punggol Drive - Anson Road,2,5,3011,Fullerton Square,Fullerton Road,103.853336,1.285597589,Two trips at 6.15pm and 6.45pm / 30 minutes,$4.00
PBS 591,XingSheng Transport Services,Punggol Drive - Anson Road,2,6,2111,Esplanade Bridge,Esplanade Drive,103.8545342,1.290955923,Two trips at 6.15pm and 6.45pm / 30 minutes,$4.00
PBS 591,XingSheng Transport Services,Punggol Drive - Anson Road,2,7,80151,Opp Suntec City,Nicoll Highway,103.8575904,1.295947793,Two trips at 6.15pm and 6.45pm / 30 minutes,$4.00
PBS 591,XingSheng Transport Services,Punggol Drive - Anson Road,2,8,80161,Opp Nicoll Highway Station,Nicoll Highway,103.8624541,1.300327156,Two trips at 6.15pm and 6.45pm / 30 minutes,$4.00
PBS 591,XingSheng Transport Services,Punggol Drive - Anson Road,2,9,67501,Blk 117C,Sengkang East Drive,103.90365,1.383549732,Two trips at 6.15pm and 6.45pm / 30 minutes,$4.00
PBS 591,XingSheng Transport Services,Punggol Drive - Anson Road,2,10,67511,Blk 121E,Sengkang East Drive,103.9062452,1.386030416,Two trips at 6.15pm and 6.45pm / 30 minutes,$4.00
PBS 591,XingSheng Transport Services,Punggol Drive - Anson Road,2,11,67521,Blk 160,Sengkang East Drive,103.9083801,1.387145366,Two trips at 6.15pm and 6.45pm / 30 minutes,$4.00
PBS 591,XingSheng Transport Services,Punggol Drive - Anson Road,2,12,65179,Coral Edge Station Exit A,Punggol Field,103.9119024,1.394295828,Two trips at 6.15pm and 6.45pm / 30 minutes,$4.00
PBS 591,XingSheng Transport Services,Punggol Drive - Anson Road,2,13,65169,Meridian Station Exit A,Punggol Field,103.9092919,1.396434688,Two trips at 6.15pm and 6.45pm / 30 minutes,$4.00
PBS 591,XingSheng Transport Services,Punggol Drive - Anson Road,2,14,65159,Cove Station Exit A,Punggol Field,103.9066529,1.398568723,Two trips at 6.15pm and 6.45pm / 30 minutes,$4.00
PBS 591,XingSheng Transport Services,Punggol Drive - Anson Road,2,15,65081,Opp Blk 199C,Punggol Road,103.9053104,1.400921588,Two trips at 6.15pm and 6.45pm / 30 minutes,$4.00
PBS 591,XingSheng Transport Services,Punggol Drive - Anson Road,2,16,65091,Blk 301A,Punggol Road,103.9065564,1.403979627,Two trips at 6.15pm and 6.45pm / 30 minutes,$4.00
PBS 591,XingSheng Transport Services,Punggol Drive - Anson Road,2,17,65309,Damai Station Exit A,Punggol Drive,103.909135,1.404943889,Two trips at 6.15pm and 6.45pm / 30 minutes,$4.00
PBS 591,XingSheng Transport Services,Punggol Drive - Anson Road,2,18,65319,Oasis Station Exit A,Punggol Drive,103.912445,1.402578056,Two trips at 6.15pm and 6.45pm / 30 minutes,$4.00
PBS 591,XingSheng Transport Services,Punggol Drive - Anson Road,2,19,65329,Kadaloor Station Exit A,Punggol Drive,103.916124,1.399888,Two trips at 6.15pm and 6.45pm / 30 minutes,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,1,67559,Opp Blk 471A,Sengkang West Way,103.880945,1.395493907,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,2,67569,Blk 432A,Sengkang West Way,103.877,1.395049992,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,3,67579,Bef Jalan Kayu,Sengkang West Way,103.8734686,1.394836197,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,4,68029,Blk 448A,Jalan Kayu,103.8726496,1.393121621,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,5,67491,Opp Fernvale Primary School,Sengkang West Avenue,103.8746649,1.390875385,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,6,67481,Fernvale Station/ Blk 439A,Sengkang West Avenue,103.8776459,1.391497941,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,7,67471,Layar Station Exit B,Sengkang West Avenue,103.8801011,1.392185681,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,8,67321,Blk 311A,Sengkang East Avenue,103.8842549,1.390567926,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,9,67361,Blk 313B,Anchorvale Drive,103.8883491,1.390995059,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,10,67351,Blk 321 Carpark,Anchorvale Drive,103.8913545,1.389944754,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,11,67271,Blk 201 Carpark,Sengkang East Road,103.8920896,1.388251387,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,12,67331,Blk 200B,Sengkang East Avenue,103.8925215,1.386768071,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,13,67261,Blk 203B,Sengkang East Avenue,103.8946421,1.386587413,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,14,67211,Ranggung Station Exit A,Sengkang East Avenue,103.8976592,1.383938281,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,15,65019,The Rivervale,Punggol Road,103.8974924,1.381514078,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,16,67721,The Rivervale,Buangkok Drive,103.8981924,1.379713497,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,17,67731,Bef Sengkang East Drive,Buangkok Drive,103.9013807,1.380187386,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,18,80219,National Stadium,Nicoll Highway,103.8752641,1.306743814,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,19,80169,Nicoll Highway Station,Nicoll Highway,103.8633601,1.300705476,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,20,80159,Suntec City,Nicoll Highway,103.8579517,1.295962317,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,21,2119,Opp War Memorial Park,Nicoll Highway,103.8553433,1.291844074,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,22,3019,OUE Bayfront,Collyer Quay,103.8531081,1.284245,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,23,3129,UIC Building,Shenton Way,103.8495672,1.278070035,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,24,3217,Opp AXA Tower,Shenton Way,103.8479444,1.275522189,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,1,25,3223,International Plaza,Anson Road,103.8463247,1.275703395,One trip at 7.30am,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,1,3222,Hub Synergy Point,Anson Road,103.8448956,1.273978369,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,2,3111,Aft Capital Tower,Robinson Road,103.8481012,1.277825954,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,3,3071,Opp So Sofitel Singapore,Robinson Road,103.8493803,1.279921325,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,4,3031,Raffles Place Station Exit E,Robinson Road,103.8508607,1.282074922,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,5,3011,Fullerton Square,Fullerton Road,103.853336,1.285597589,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,6,2111,Esplanade Bridge,Esplanade Drive,103.8545342,1.290955923,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,7,80151,Opp Suntec City,Nicoll Highway,103.8575904,1.295947793,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,8,80161,Opp Nicoll Highway Station,Nicoll Highway,103.8624541,1.300327156,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,9,67739,Aft Sengkang East Drive,Buangkok Drive,103.9019509,1.379984232,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,10,67729,Opp The Rivervale,Buangkok Drive,103.8987257,1.37948933,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,11,65011,Opp The Rivervale,Punggol Road,103.8972095,1.381596968,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,12,67219,Ranggung Station Exit B ,Sengkang East Avenue,103.8975137,1.383688353,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,13,67269,Opp Blk 203A,Sengkang East Avenue,103.8951336,1.386054076,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,14,67339,Opp Blk 200B,Sengkang East Avenue,103.8926909,1.386480382,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,15,67279,Blk 301D,Sengkang East Road,103.8916788,1.388093054,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,16,67359,Nan Chiau High School,Anchorvale Drive,103.8904406,1.390025942,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,17,67369,Blk 306 Carpark,Anchorvale Drive,103.8885346,1.390717311,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,18,67329,Opp Blk 310B,Sengkang East Avenue,103.8846017,1.390019742,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,19,67479,Layar Station Exit A/Blk 417A,Sengkang West Avenue,103.8801967,1.391982037,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,20,67489,Opp Fernvale Station ,Sengkang West Avenue,103.877085,1.39100245,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,21,67499,Fernvale Primary School,Sengkang West Avenue,103.8746787,1.390680287,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,22,68021,Opp Blk 448A,Jalan Kayu,103.872471,1.393179098,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,23,67571,Aft Lor Tanggam,Sengkang West Way,103.8739192,1.395157967,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,24,67561,Opp Blk 432A,Sengkang West Way,103.876977,1.395458285,One trip at 6.15pm,$4.00
PBS 592,XingSheng Transport Services,Sengkang West Way - Anson Road,2,25,67551,Blk 471A,Sengkang West Way,103.8792729,1.396005293,One trip at 6.15pm,$4.00
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,1,65149,Bef Soo Teck Stn,Punggol Way,103.8969248,1.404440466,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,2,65401,Opposite Blk 264A,Punggol Central,,,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,3,65251,Punggol Station,Punggol Central,103.90248,1.40529,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,4,65221,Blk 303D,Punggol Central,103.9048076,1.404028428,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,5,65091,Blk 301A,Punggol Road,103.9065564,1.403979627,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,6,65309,Opp Blk 612A,Punggol Drive,103.909135,1.404943889,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,7,65319,Oasis Station Exit A,Punggol Drive,103.912445,1.402578056,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,8,65329,Kadaloor Station Exit A,Punggol Drive,103.916124,1.399888,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,9,65189,Bef Punggol Central,Punggol East ,103.9179331,1.396826944,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,10,65239,Opp Blk 166A,Punggol East ,103.9160348,1.394104614,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,11,65179,Coral Edge Station Exit A,Punggol Field ,103.9119024,1.394295828,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,12,65169,Blk 108,Punggol Field ,103.9092919,1.396434688,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,13,65159,Blk 101C,Punggol Field ,103.9066529,1.398568723,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,14,65079,Blk 102C,Punggol Road ,103.904748,1.398935745,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,15,96069,Mera Terrace Playground,Upper Changi Road East ,,,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,16,96049,Upper Changi Station/SUTD,Upper Changi Road East ,,,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,17,96419,Eightrium,Changi South Avenue 1,103.9638595,1.3376443,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,18,-,Along the road outside The IBM Place,Changi Business Park Avenue 1,103.9638594,1.3360398,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,19,96401,Honeywell Building,Changi Business Park Central 1,103.9659831,1.3367799,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,20,96361,Aft Akzonobel,Changi Business Park Central 2 ,103.966437,1.336491101,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,21,-,Along the road outside Plaza 8,Changi Business Park Central 1,103.9645692,1.3340451,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,22,96321,DBS Asia Hub,Changi South Avenue 2 ,103.9653246,1.332082717,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,23,96331,Premier,Changi South Avenue 2 ,,,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,24,96341,Aft Sunny Metal & Engrg,Changi South Avenue 2 ,,,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,1,25,96351,Before Changi South Street 1,Changi South Avenue 4 ,,,"Nine trips from 6.55am to 10.00am / 10 to 35 min
", $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,1,96419,Eightrium,Changi South Avenue 1,103.9638595,1.3376443,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,2,-,Along the road outside The IBM Place,Changi Business Park Avenue 1,103.9638594,1.3360398,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,3,96401,Honeywell Building,Changi Business Park Central 1,103.9659831,1.3367799,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,4,96361,Aft Akzonobel,Changi Business Park Central 2 ,103.966437,1.336491101,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,5,-,Along the road outside Plaza 8,Changi Business Park Central 1,103.9645692,1.3340451,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,6,-,Along the road outside Plaza 8 Blk 1 ,Changi Business Park Crescent,103.9660716,1.3329524,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,7,-,Along the road outside Citibank ,Changi Business Park Avenue 3,103.9663908,1.3342261,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,8,-,Bus stop outside Rigel Innovation Centre,Changi Business Park Vista,103.9675272,1.3372672,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,9,65071,Opp Blk 103A,Punggol Road ,103.9041638,1.398450741,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,10,65151,Blk 196A,Punggol Field ,103.9067353,1.398911231,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,11,65161,Blk 173B,Punggol Field ,103.9085911,1.397356311,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,12,65171,Opp Blk 126A,Punggol Field ,103.9120935,1.394494243,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,13,65231,Blk 166A,Punggol East ,103.9157653,1.39428248,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,14,65181,Aft Punggol Central,Punggol East ,103.9175469,1.396813889,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,15,65321,Kadaloor Station Exit B,Punggol Drive ,103.916593,1.399427,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,16,65311,Oasis Station Exit B/Blk 617D,Punggol Drive ,103.9128569,1.402015,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,17,65301,Blk 612A,Punggol Drive ,103.9093081,1.40455,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,18,65099,Blk 604A,Punggol Road ,103.897021,1.380166,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,19,65229,Blk 298,Punggol Central ,103.9055693,1.403202195,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,20,-,Pick-up/Drop-off point outside Punggol Station,Punggol Central,103.90248,1.40529,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,21,65409,Before Blk 264,Punggol Central,,,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 593,MyBus Pte Ltd,Punggol Way - Changi Business Park,2,22,65141,Aft Soo Teck Stn,Punggol Way ,103.8971639,1.404548056,Six trips from 5.30pm to 8.00pm / 10 to 45 min, $3.50 (card) / $4.00 (cash) 
PBS 722,City Bus Services,Senja Road to Gopeng Street,1,1,44811,Senja Fc,Senja Rd,103.7602083,1.38715473,Two trips at 7.18am and 7.30am,"Adult/Senior Citizen: $3.30, Child or Student: $2"
PBS 722,City Bus Services,Senja Road to Gopeng Street,1,2,44931,Blk 643 Cp,Senja Rd,103.763361,1.387703,Two trips at 7.18am and 7.30am,"Adult/Senior Citizen: $3.30, Child or Student: $3"
PBS 722,City Bus Services,Senja Road to Gopeng Street,1,3,44721,Opp Jelapang Stn,Bt Panjang Ring Rd,103.764919,1.38679108,Two trips at 7.18am and 7.30am,"Adult/Senior Citizen: $3.30, Child or Student: $4"
PBS 722,City Bus Services,Senja Road to Gopeng Street,1,4,44661,Blk 532,Jelapang Rd,103.7649959,1.38447517,Two trips at 7.18am and 7.30am,"Adult/Senior Citizen: $3.30, Child or Student: $5"
PBS 722,City Bus Services,Senja Road to Gopeng Street,1,5,44611,Blk 516,Jelapang Rd,103.7675781,1.38712483,Two trips at 7.18am and 7.30am,"Adult/Senior Citizen: $3.30, Child or Student: $6"
PBS 722,City Bus Services,Senja Road to Gopeng Street,1,6,44701,Blk 548B,Segar Rd,103.7687969,1.38927145,Two trips at 7.18am and 7.30am,"Adult/Senior Citizen: $3.30, Child or Student: $7"
PBS 722,City Bus Services,Senja Road to Gopeng Street,1,7,44691,Blk 485,Segar Rd,103.7714647,1.38826258,Two trips at 7.18am and 7.30am,"Adult/Senior Citizen: $3.30, Child or Student: $8"
PBS 722,City Bus Services,Senja Road to Gopeng Street,1,8,44771,Fajar Stn,Fajar Rd,103.7707957,1.38458556,Two trips at 7.18am and 7.30am,"Adult/Senior Citizen: $3.30, Child or Student: $9"
PBS 722,City Bus Services,Senja Road to Gopeng Street,1,9,44349,Bet Blks 443A/443B,Fajar Rd,103.7693281,1.38133303,Two trips at 7.18am and 7.30am,"Adult/Senior Citizen: $3.30, Child or Student: $10"
PBS 722,City Bus Services,Senja Road to Gopeng Street,1,10,44339,Blk 442D,Fajar Rd,103.771149,1.38084523,Two trips at 7.18am and 7.30am,"Adult/Senior Citizen: $3.30, Child or Student: $11"
PBS 722,City Bus Services,Senja Road to Gopeng Street,1,11,44329,Bangkit Stn,Bt Panjang Ring Rd,103.7725763,1.38021501,Two trips at 7.18am and 7.30am,"Adult/Senior Citizen: $3.30, Child or Student: $12"
PBS 722,City Bus Services,Senja Road to Gopeng Street,1,12,44371,Blk 219,Petir Rd,103.7726396,1.37402226,Two trips at 7.18am and 7.30am,"Adult/Senior Citizen: $3.30, Child or Student: $13"
PBS 722,City Bus Services,Senja Road to Gopeng Street,1,13,44381,Blk 202,Petir Rd,103.7744136,1.37242134,Two trips at 7.18am and 7.30am,"Adult/Senior Citizen: $3.30, Child or Student: $14"
PBS 722,City Bus Services,Senja Road to Gopeng Street,1,14,44351,Aft Chestnut Ave,Petir Rd,103.7755885,1.36823452,Two trips at 7.18am and 7.30am,"Adult/Senior Citizen: $3.30, Child or Student: $15"
PBS 722,City Bus Services,Senja Road to Gopeng Street,1,15,44361,Opp Dairy Farm Mall,Petir Rd,103.7755877,1.36645895,Two trips at 7.18am and 7.30am,"Adult/Senior Citizen: $3.30, Child or Student: $16"
PBS 722,City Bus Services,Senja Road to Gopeng Street,1,16,5319,Ocbc Ctr,Church St,103.849114,1.284437,Two trips at 7.18am and 7.30am,"Adult/Senior Citizen: $3.30, Child or Student: $17"
PBS 722,City Bus Services,Senja Road to Gopeng Street,1,17,3381,The Sail,Marina Blvd,103.8530651,1.28162601,Two trips at 7.18am and 7.30am,"Adult/Senior Citizen: $3.30, Child or Student: $18"
PBS 722,City Bus Services,Senja Road to Gopeng Street,1,18,3579,Opp Downtown Stn,Straits view,103.852918,1.278832,Two trips at 7.18am and 7.30am,"Adult/Senior Citizen: $3.30, Child or Student: $19"
PBS 722,City Bus Services,Senja Road to Gopeng Street,1,19,3549,Shenton Way Stn Exit 3,Park Street,103.85045,1.277728,Two trips at 7.18am and 7.30am,"Adult/Senior Citizen: $3.30, Child or Student: $20"
PBS 722,City Bus Services,Senja Road to Gopeng Street,1,20,-,In front of Guoco Tower,Wallich St,103.846135,1.277289,Two trips at 7.18am and 7.30am,"Adult/Senior Citizen: $3.30, Child or Student: $21"
PBS 722,City Bus Services,Senja Road to Gopeng Street,1,21,-,Beside Twenty Anson,Gopeng St,103.845161,1.275388,Two trips at 7.18am and 7.30am,"Adult/Senior Citizen: $3.30, Child or Student: $22"
PBS 722,City Bus Services,Tanjong Pagar Road to Senja Road,2,1,5411,Tanjong Pagar Plaza,Tanjong Pagar Road,103.846904,1.432833,One trip at 6.10pm,"Adult/Senior Citizen: $3.30, Child or Student: $2"
PBS 722,City Bus Services,Tanjong Pagar Road to Senja Road,2,2,-,Beside Twenty Anson,Gopeng St,103.845161,1.275388,One trip at 6.10pm,"Adult/Senior Citizen: $3.30, Child or Student: $2"
