module,param,baseline_value,new_value,changed,is_routechoice_patch,is_sampling_consistency
transit,transitModes,pt,pt,False,False,False
transit,transitScheduleFile,null,null,False,False,False
transit,transitStopsAttributesFile,null,null,False,False,False
transit,useTransit,false,false,False,False,False
transit,usingTransitInMobsim,true,true,False,False,False
transit,vehiclesFile,null,null,False,False,False
transitRouter,additionalTransferTime,0.0,0.0,False,False,False
transitRouter,directWalkFactor,1.0,1.0,False,False,False
transitRouter,extensionRadius,200.0,200.0,False,False,False
transitRouter,maxBeelineWalkConnectionDistance,100.0,100.0,False,False,False
transitRouter,searchRadius,1000.0,1000.0,False,False,False
travelTimeCalculator,analyzedModes,car,car,False,False,False
travelTimeCalculator,calculateLinkToLinkTravelTimes,false,false,False,False,False
travelTimeCalculator,calculateLinkTravelTimes,true,true,False,False,False
travelTimeCalculator,filterModes,false,false,False,False,False
travelTimeCalculator,maxTime,108000,108000,False,False,False
travelTimeCalculator,separateModes,true,true,False,False,False
travelTimeCalculator,travelTimeAggregator,optimistic,optimistic,False,False,False
travelTimeCalculator,travelTimeBinSize,900.0,900.0,False,False,False
travelTimeCalculator,travelTimeGetter,average,average,False,False,False
vehicles,vehiclesFile,null,null,False,False,False
vspExperimental,isAbleToOverwritePtInteractionParams,false,false,False,False,False
vspExperimental,isGeneratingBoardingDeniedEvent,false,false,False,False,False
vspExperimental,isUsingOpportunityCostOfTimeForLocationChoice,true,true,False,False,False
vspExperimental,logitScaleParamForPlansRemoval,1.0,1.0,False,False,False
vspExperimental,vspDefaultsCheckingLevel,ignore,ignore,False,False,False
vspExperimental,writingOutputEvents,true,true,False,False,False
