module,param,baseline_value,new_value,changed,is_target_patch
global,randomSeed,4711,4711,False,False
hermes,endTime,30:00:00,30:00:00,False,False
hermes,flowCapacityFactor,1.0,1.0,False,False
hermes,mainMode,car,car,False,False
hermes,storageCapacityFactor,1.0,1.0,False,False
hermes,stuckTime,10,10,False,False
hermes,useDeterministicPt,false,false,False,False
households,inputFile,null,null,False,False
households,inputHouseholdAttributesFile,null,null,False,False
households,insistingOnUsingDeprecatedHouseholdsAttributeFile,false,false,False,False
linkStats,averageLinkStatsOverIterations,1,1,False,False
linkStats,writeLinkStatsInterval,1,1,False,False
network,inputCRS,null,null,False,False
network,inputChangeEventsFile,null,null,False,False
network,inputNetworkFile,D:\Luan\2026-05\2_Singapore\reports\matsim_network\network_cleaned.xml.gz,D:\Luan\2026-05\2_Singapore\reports\matsim_network\network_cleaned.xml.gz,False,False
network,laneDefinitionsFile,null,null,False,False
network,timeVariantNetwork,false,false,False,False
planInheritance,enabled,false,false,False,False
plans,activityDurationInterpretation,tryEndTimeThenDuration,tryEndTimeThenDuration,False,False
plans,handlingOfPlansWithoutRoutingMode,reject,reject,False,False
plans,inputCRS,null,null,False,False
plans,inputPersonAttributesFile,null,null,False,False
plans,inputPlansFile,D:\Luan\2026-05\2_Singapore\reports\matsim_departure_6_3_3a\population_lambda_0p075.xml.gz,D:\Luan\2026-05\2_Singapore\reports\matsim_departure_6_3_3a\population_lambda_0p075.xml.gz,False,False
plans,insistingOnUsingDeprecatedPersonAttributeFile,false,false,False,False
plans,networkRouteType,LinkNetworkRoute,LinkNetworkRoute,False,False
plans,removingUnnecessaryPlanAttributes,false,false,False,False
plans,tripDurationHandling,ignoreDelays,ignoreDelays,False,False
qsim,delayInstantTeleportationArrivals,true,true,False,False
qsim,endTime,undefined,undefined,False,False
qsim,filterSnapshots,no,no,False,False
qsim,flowCapacityFactor,1,1.0,False,False
qsim,insertingWaitingVehiclesBeforeDrivingVehicles,true,true,False,False
qsim,isRestrictingSeepage,true,true,False,False
qsim,isSeepModeStorageFree,false,false,False,False
qsim,linkDynamics,FIFO,FIFO,False,False
qsim,linkWidth,30.0,30.0,False,False
qsim,mainMode,car,car,False,False
qsim,nodeOffset,0.0,0.0,False,False
qsim,notifyAboutStuckVehicles,false,false,False,False
qsim,numberOfThreads,8,8,False,False
qsim,personInitializedEvents,none,none,False,False
qsim,removeStuckVehicles,false,false,False,False
qsim,seepMode,bike,bike,False,False
qsim,simEndtimeInterpretation,null,null,False,False
qsim,simStarttimeInterpretation,maxOfStarttimeAndEarliestActivityEnd,maxOfStarttimeAndEarliestActivityEnd,False,False
qsim,snapshotStyle,queue,queue,False,False
qsim,snapshotperiod,00:00:00,00:00:00,False,False
qsim,startTime,undefined,undefined,False,False
qsim,storageCapacityFactor,1,1.0,False,False
qsim,stuckTime,10.0,10.0,False,False
qsim,timeStepSize,00:00:01,00:00:01,False,False
qsim,trafficDynamics,queue,queue,False,False
qsim,useLanes,false,false,False,False
qsim,usePersonIdForMissingVehicleId,false,false,False,False
qsim,usingFastCapacityUpdate,true,true,False,False
qsim,vehicleBehavior,teleport,teleport,False,False
qsim,vehiclesSource,defaultVehicle,defaultVehicle,False,False
replanning,ExternalExeConfigTemplate,null,null,False,False
replanning,ExternalExeTimeOut,3600,3600,False,False
replanning,ExternalExeTmpFileRootDir,null,null,False,False
replanning,fractionOfIterationsToDisableInnovation,Infinity,0.8,True,True
replanning,maxAgentPlanMemorySize,5,5,False,False
replanning,planSelectorForRemoval,WorstPlanSelector,WorstPlanSelector,False,False
replanningAnnealer,activateAnnealingModule,false,false,False,False
routing,accessEgressType,accessEgressModeToLink,accessEgressModeToLink,False,False
routing,clearDefaultTeleportedModeParams,false,false,False,False
routing,networkModes,car,car,False,False
routing,networkRouteConsistencyCheck,abortOnInconsistency,abortOnInconsistency,False,False
routing,routingRandomness,0.0,0.0,False,True
scoring,brainExpBeta,1.0,1.0,False,False
scoring,fractionOfIterationsToStartScoreMSA,null,null,False,False
scoring,learningRate,1.0,0.5,True,True
scoring,pathSizeLogitBeta,1.0,1.0,False,False
scoring,usingOldScoringBelowZeroUtilityDuration,false,false,False,False
scoring,writeExperiencedPlans,true,true,False,False
scoring,writeScoreExplanations,false,false,False,False
subtourModeChoice,behavior,fromSpecifiedModesToSpecifiedModes,fromSpecifiedModesToSpecifiedModes,False,False
subtourModeChoice,chainBasedModes,"car,bike","car,bike",False,False
subtourModeChoice,considerCarAvailability,false,false,False,False
subtourModeChoice,coordDistance,0.0,0.0,False,False
subtourModeChoice,modes,"car,pt,bike,walk","car,pt,bike,walk",False,False
subtourModeChoice,probaForRandomSingleTripMode,0.0,0.0,False,False
timeAllocationMutator,latestActivityEndTime,86400.0,86400.0,False,False
timeAllocationMutator,mutateAroundInitialEndTimeOnly,false,false,False,False
timeAllocationMutator,mutationAffectsDuration,true,true,False,False
timeAllocationMutator,mutationRange,1800.0,1800.0,False,False
timeAllocationMutator,mutationRangeStep,1.0,1.0,False,False
transit,inputScheduleCRS,null,null,False,False
transit,insistingOnUsingDeprecatedAttributeFiles,false,false,False,False
transit,routingAlgorithmType,SwissRailRaptor,SwissRailRaptor,False,False
transit,transitLinesAttributesFile,null,null,False,False
transit,transitModes,pt,pt,False,False
transit,transitScheduleFile,null,null,False,False
transit,transitStopsAttributesFile,null,null,False,False
transit,useTransit,false,false,False,False
transit,usingTransitInMobsim,true,true,False,False
transit,vehiclesFile,null,null,False,False
transitRouter,additionalTransferTime,0.0,0.0,False,False
transitRouter,directWalkFactor,1.0,1.0,False,False
transitRouter,extensionRadius,200.0,200.0,False,False
transitRouter,maxBeelineWalkConnectionDistance,100.0,100.0,False,False
transitRouter,searchRadius,1000.0,1000.0,False,False
travelTimeCalculator,analyzedModes,car,car,False,False
travelTimeCalculator,calculateLinkToLinkTravelTimes,false,false,False,False
travelTimeCalculator,calculateLinkTravelTimes,true,true,False,False
travelTimeCalculator,filterModes,false,false,False,False
travelTimeCalculator,maxTime,108000,108000,False,False
travelTimeCalculator,separateModes,true,true,False,False
travelTimeCalculator,travelTimeAggregator,optimistic,optimistic,False,False
travelTimeCalculator,travelTimeBinSize,900.0,900.0,False,False
travelTimeCalculator,travelTimeGetter,average,average,False,False
vehicles,vehiclesFile,null,null,False,False
vspExperimental,isAbleToOverwritePtInteractionParams,false,false,False,False
vspExperimental,isGeneratingBoardingDeniedEvent,false,false,False,False
vspExperimental,isUsingOpportunityCostOfTimeForLocationChoice,true,true,False,False
vspExperimental,logitScaleParamForPlansRemoval,1.0,1.0,False,False
vspExperimental,vspDefaultsCheckingLevel,ignore,ignore,False,False
vspExperimental,writingOutputEvents,true,true,False,False
